id,tiene_alto_valor_adquisitivo
1,[0.01951519]
2,[0.15598345]
3,[0.4639451]
4,[0.9152149]
5,[0.0182966]
6,[0.02954489]
7,[0.02433491]
8,[0.25877562]
9,[0.01921988]
10,[0.04609123]
11,[0.82920575]
12,[0.6401805]
13,[0.02493593]
14,[0.17829204]
15,[0.34632874]
16,[0.76914215]
17,[0.0184873]
18,[0.2042056]
19,[0.02952585]
20,[0.74282885]
21,[0.62948334]
22,[0.02339441]
23,[0.02503863]
24,[0.0883697]
25,[0.48631188]
26,[0.72012]
27,[0.02381274]
28,[0.02464068]
29,[0.22728577]
30,[0.05624911]
31,[0.9233479]
32,[0.03307843]
33,[0.05511856]
34,[0.16474047]
35,[0.0301486]
36,[0.22627163]
37,[0.6850813]
38,[0.02419648]
39,[0.02221784]
40,[0.01998073]
41,[0.7801466]
42,[0.7221009]
43,[0.12433752]
44,[0.07164854]
45,[0.01785567]
46,[0.54075795]
47,[0.10555243]
48,[0.33557802]
49,[0.0315879]
50,[0.16249248]
51,[0.01926216]
52,[0.02750444]
53,[0.0264549]
54,[0.8892845]
55,[0.05601028]
56,[0.01974562]
57,[0.2867247]
58,[0.50213283]
59,[0.75276744]
60,[0.1261032]
61,[0.09749505]
62,[0.0595766]
63,[0.07033461]
64,[0.02327365]
65,[0.04593194]
66,[0.04593757]
67,[0.9382477]
68,[0.01967978]
69,[0.04594165]
70,[0.4555789]
71,[0.9380496]
72,[0.68504834]
73,[0.13768393]
74,[0.02058062]
75,[0.25997776]
76,[0.01914912]
77,[0.27172267]
78,[0.3836237]
79,[0.2403231]
80,[0.02409902]
81,[0.43018502]
82,[0.08202681]
83,[0.04333913]
84,[0.9391793]
85,[0.14074835]
86,[0.0398311]
87,[0.02277789]
88,[0.5648607]
89,[0.03290161]
90,[0.91772395]
91,[0.10697106]
92,[0.02592948]
93,[0.86902845]
94,[0.17042848]
95,[0.04954296]
96,[0.01864892]
97,[0.034868]
98,[0.12798542]
99,[0.24711409]
100,[0.02369827]
101,[0.10050234]
102,[0.03134045]
103,[0.0193682]
104,[0.02697054]
105,[0.0345605]
106,[0.03224066]
107,[0.38931653]
108,[0.04386905]
109,[0.02103609]
110,[0.01903906]
111,[0.01949939]
112,[0.13883951]
113,[0.59366316]
114,[0.02031657]
115,[0.16566885]
116,[0.02152249]
117,[0.27224827]
118,[0.02209336]
119,[0.04102772]
120,[0.08549327]
121,[0.09549272]
122,[0.01996103]
123,[0.02135471]
124,[0.06265166]
125,[0.03163287]
126,[0.03940949]
127,[0.7766333]
128,[0.02751163]
129,[0.15430498]
130,[0.7827929]
131,[0.31724983]
132,[0.02126172]
133,[0.0213379]
134,[0.7776778]
135,[0.34191847]
136,[0.07711032]
137,[0.37773255]
138,[0.08231735]
139,[0.14400843]
140,[0.05380338]
141,[0.7258921]
142,[0.01998755]
143,[0.9270587]
144,[0.7669772]
145,[0.05166504]
146,[0.04673409]
147,[0.08658424]
148,[0.30671996]
149,[0.9385214]
150,[0.09645227]
151,[0.02794784]
152,[0.05274504]
153,[0.04938075]
154,[0.02270001]
155,[0.65927714]
156,[0.0201351]
157,[0.02587113]
158,[0.04861522]
159,[0.02556551]
160,[0.3052813]
161,[0.08348551]
162,[0.28981966]
163,[0.11456466]
164,[0.03574973]
165,[0.7164782]
166,[0.41761225]
167,[0.43361503]
168,[0.31273812]
169,[0.02020678]
170,[0.07344219]
171,[0.69998395]
172,[0.15812883]
173,[0.03869417]
174,[0.68614626]
175,[0.06704086]
176,[0.5214882]
177,[0.2257626]
178,[0.19393024]
179,[0.41102904]
180,[0.40898046]
181,[0.31314033]
182,[0.93819946]
183,[0.03389275]
184,[0.15523869]
185,[0.04316679]
186,[0.08039099]
187,[0.04401377]
188,[0.02623883]
189,[0.03687304]
190,[0.02011314]
191,[0.76786304]
192,[0.23138827]
193,[0.04365698]
194,[0.03498346]
195,[0.03579202]
196,[0.03800833]
197,[0.05006075]
198,[0.78918564]
199,[0.02143663]
200,[0.07849753]
201,[0.4180153]
202,[0.6173911]
203,[0.1251153]
204,[0.12284636]
205,[0.7069198]
206,[0.61596304]
207,[0.09845302]
208,[0.29086766]
209,[0.6190151]
210,[0.29452893]
211,[0.031005]
212,[0.01854572]
213,[0.85306525]
214,[0.49168947]
215,[0.02757251]
216,[0.21877956]
217,[0.03341052]
218,[0.0201264]
219,[0.05401748]
220,[0.07340458]
221,[0.53186285]
